Word,Length,Freq_HAL,Log_Freq_HAL,NPhon,NSyll,NMorph,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
bash,4,4672,8.45,3,1,1,623.38,0.94,603.36,1
batter,6,1364,7.22,4,2,1,724.48,0.97,639.48,1
beat,4,33104,10.41,3,1,1,590.16,1,550,1
bite,4,8162,9.01,3,1,1,576.55,0.94,581.31,1
break,5,47766,10.77,4,1,1,604.15,1,591.96,1
catch,5,22587,10.03,3,1,1,549.06,1,608.33,1
cheap,5,34326,10.44,3,1,1,618.97,0.97,618.48,1
check,5,170581,12.05,3,1,1,596.09,0.97,603.81,0.96
chilling,8,1318,7.18,5,2,2,628.42,0.97,654.41,1
close,5,84927,11.35,4,1,1,542.71,1,590.43,1
club,4,63264,11.06,4,1,1,547.03,1,606.07,1
correct,7,77798,11.26,6,2,1,510.42,0.97,625.04,1
court,5,57767,10.96,4,1,1,586.84,0.94,591.56,1
crazy,5,17520,9.77,5,2,2,546.71,1,564,1
crush,5,3571,8.18,4,1,1,614.66,0.97,587.96,1
direct,6,54882,10.91,6,2,1,587,0.94,630.77,0.96
discipline,10,7415,8.91,8,3,1,709.53,1,657.93,1
exploit,7,2619,7.87,7,2,1,664.85,0.97,688.04,1
fall,4,46059,10.74,3,1,1,549.4,1,583.35,1
fighter,7,13334,9.5,4,2,2,649.55,0.97,672.96,1
fine,4,111801,11.62,3,1,1,596.55,0.94,612.72,1
fire,4,62707,11.05,3,1,1,545.19,1,636.08,1
grill,5,1495,7.31,4,1,1,600.12,0.97,692.73,1
grub,4,184,5.21,4,1,1,706.83,0.88,657.27,0.96
hail,4,3226,8.08,3,1,1,652.69,0.97,640.07,1
hang,4,17803,9.79,3,1,1,602.58,0.97,644.22,1
insane,6,6598,8.79,5,2,2,627.15,0.97,651.08,1
jam,3,10904,9.3,3,1,1,580.79,0.94,632.18,1
mug,3,1642,7.4,3,1,1,664.21,0.97,587.43,1
overcome,8,7196,8.88,6,3,2,658.59,1,578.31,1
patient,7,14671,9.59,5,2,2,577.85,1,616.56,1
pick,4,45297,10.72,3,1,1,535.03,0.97,561.68,1
player,6,58218,10.97,4,1,2,535.47,1,555.78,0.96
pop,3,22982,10.04,3,1,1,562.42,1,563.93,1
proud,5,16648,9.72,4,1,1,613.24,0.97,615.77,1
punch,5,9481,9.16,4,1,1,655.97,0.94,580.96,1
radical,7,8075,9,7,3,2,738.07,0.94,642.61,1
retreat,7,3082,8.03,6,2,1,727.2,0.94,620.64,1
revolution,10,13497,9.51,8,4,2,679.36,0.97,652.21,1
riot,4,2286,7.73,4,1,1,688.03,0.94,575.14,1
rush,4,27949,10.24,3,1,1,628.17,0.97,550.15,1
shady,5,785,6.67,4,2,2,772.85,1,656.78,1
shake,5,5292,8.57,3,1,1,556.12,0.97,639.52,1
sharp,5,12847,9.46,4,1,1,618.56,1,589,1
shoot,5,23531,10.07,3,1,1,593.67,1,668.74,1
shot,4,42214,10.65,3,1,1,554.48,0.97,590.92,1
shred,5,1446,7.28,4,1,1,620.78,0.94,650.25,1
snappy,6,886,6.79,5,2,2,603.91,1,670.42,1
strike,6,16025,9.68,5,1,1,636.47,1,691.54,1
stun,4,1780,7.48,4,1,1,794.46,0.85,628.33,1
superior,8,19327,9.87,7,3,1,659.58,0.97,707.41,1
surprise,8,17697,9.78,6,2,1,663.81,0.91,637.54,1
survivor,8,1786,7.49,6,3,3,604.88,1,644.78,1
swear,5,5027,8.52,4,1,1,691.59,0.97,690.85,1
terminal,8,24678,10.11,6,3,2,630.47,1,681.13,1
thick,5,11429,9.34,3,1,1,662.41,0.91,650.85,0.96
trick,5,15658,9.66,4,1,1,619.06,1,584.37,1
trip,4,28399,10.25,4,1,1,545.91,0.97,603.79,1
loot,4,999,6.91,3,1,1,664.44,0.97,572.64,1