,Word,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,words_avg,val,Occurrences,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
34,operation,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,NA,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,NA,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0.456410256,ambiguous,1,9,113,28468,10.257,43.94,3.351,14.27,3.079,0,0,0,0,0,#,#,#,#,#,#,#,#,#,#,2.4,6.868,2.55,6.997,3.44,0.675,8094,2.041,7.84,#,2.94,5.71,3.78,73,31,247,95,53876,6734.5,5137,"%A.p@`.r""e.Sn=",7,4,{oper--ate}>ion>,"{%A.p@`.r--""e.S$}>n=>",3,NN,717,-0.348,261.109,26,1,564.962,-0.655,67.265,#,0.963
35,overcome,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.169230769,ambiguous,1,8,26,7196,8.881,6.2,2.501,3.21,2.431,1,1,1,1,1,6,6.031,6.031,6.031,6.031,0,#,1,6,1.47,2.5,5.573,2.65,5.655,2.28,0.617,4380,2.159,8,#,6.81,5.75,6.32,94,37,289,126,28804,4114.86,2659,"%o.v@`.k""Vm",6,3,<over<{come},"<%o.v@`<.{k""Vm}",2,VB,658.594,-0.44,314.422,29,1,578.31,-0.791,88.488,#,1
36,pick,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,1,1,0,0,0,0,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.262886598,ambiguous,1,4,55,45297,10.721,198.39,4.005,56.34,3.675,16,41,41,14,14,8.1,7.705,7.705,8.198,8.198,0,#,16,8.1,1.33,1.15,8.067,1,8.283,3.82,0.627,5240,1.988,5.26,3.259,5.91,3.62,5.94,150,55,448,160,8292,2764,1804,"p""Ik",3,1,{pick},"{p""Ik}",1,VB|NN,535.031,-0.873,132.744,28,0.97,561.679,-0.789,83.521,#,1
38,player,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.123076923,ambiguous,1,6,51,58218,10.972,37.76,3.285,12.29,3.014,5,11,11,2,2,7.7,8.299,8.299,9.511,9.511,1,11.1,4,6.9,1.42,1.75,8.027,1.8,8.082,4.15,0.663,7492,1.381,6.89,4.72,5.55,5.95,5.68,173,70,444,176,20050,4010,4365,"pl""e@`",4,1,{play}>er>,"{pl""e}>@`>",2,NN,535.471,-0.846,137.948,27,1,555.778,-0.756,84.823,#,0.964
39,pop,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.182741117,ambiguous,1,3,8,22982,10.042,67.47,3.537,18.45,3.19,20,32,32,17,17,7.3,6.982,6.982,7.318,7.318,1,11.7,19,7,1.38,1,7.534,1,7.547,4.22,0.644,6390,1.228,4.485,3.148,6.05,4.45,5.68,392,102,923,250,3688,1844,1206,"p""Ap",3,1,{pop},"{p""Ap}",1,NN|VB,562.424,-0.739,176.644,27,1,563.926,-0.756,86.623,#,1
41,radical,0,1,0,0,0,0,0,1,1,1,1,NA,0,0,1,0,1,1,0,NA,NA,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,NA,0,1,1,1,1,0,0,0,1,1,NA,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0.645833333,ambiguous,1,7,30,8075,8.997,4.27,2.34,2.16,2.26,0,1,1,0,0,#,1.946,1.946,#,#,#,#,#,#,#,2.55,6.994,2.7,7.032,2.1,0.636,5923,1.789,11.9,#,4.36,5.27,5.21,24,18,98,67,25954,4325.67,2858,"r""a.4I.k@l",7,3,{radic--al},"{r""a.4I.k--@l}",2,JJ|NN,738.067,-0.243,316.388,28,0.94,642.607,-0.527,160.61,#,1
42,retreat,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,NA,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,NA,1,1,0,1,0,1,0,1,0,0,1,0,1,0,NA,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0.536082474,ambiguous,1,7,14,3082,8.033,9.49,2.686,3.52,2.471,1,1,1,0,0,4.3,9.064,9.064,#,#,0,#,1,4.3,1.85,2.3,6.713,2.2,7.107,3.03,0.612,4206,1.902,10.53,2.609,4.92,4.12,4.68,35,24,128,79,34221,5703.5,6104,"rI.tr""it",6,2,{retreat},"{rI.tr""it}",1,NN|VB,727.2,-0.344,282.603,25,0.94,620.64,-0.488,107.696,#,1
43,revolution,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,NA,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,NA,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.360824742,ambiguous,1,10,70,13497,9.51,12.33,2.799,3.85,2.51,2,2,2,2,2,8.2,8.209,8.209,8.209,8.209,1,10.1,1,6.3,1.16,2.35,6.497,2.45,6.54,2.87,0.655,7099,1.626,10,#,4.81,5.68,5.23,122,50,344,142,37247,4138.56,6232,"r%E.v@.l""u.Sn=",8,4,{re--volution},"{r%E-.-v@.l""u.Sn=}",2,NN,679.364,-0.376,212.392,29,0.97,652.207,-0.256,238.033,#,1
45,rush,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,NA,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,NA,1,1,1,1,0,0,1,1,NA,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0.530927835,ambiguous,1,4,20,27949,10.238,31.41,3.205,14.68,3.091,13,17,17,7,7,7.4,7.119,7.119,6.918,6.918,0,#,13,7.4,1.39,1.25,7.729,1.05,7.664,2.9,0.629,5829,1.902,6.7,2.25,4.05,6.55,6.79,133,54,370,168,7095,2365,1233,"r""VS",3,1,{rush},"{r""VS}",1,NN|VB,628.167,-0.722,298.697,27,0.97,550.148,-0.754,102.87,#,1
46,shake,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,NA,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0.443877551,ambiguous,1,5,17,5292,8.574,39.63,3.306,15.45,3.113,12,28,28,5,5,7.5,7.482,7.482,8.106,8.106,4,9.8,8,6.4,1.14,1.25,7.991,1,8.249,4.07,0.561,333,1.879,5.26,3.519,4.59,5.2,6.37,359,78,834,205,7660,1915,2303,"S""ek",3,1,{shake},"{S""ek}",1,VB|NN,556.118,-0.824,128.065,27,0.97,639.519,-0.386,122.806,#,1
47,shred,1,0,1,1,1,0,1,0,1,1,0,0,1,1,NA,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,NA,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,NA,1,0,1,1,1,0,0.731958763,ambiguous,1,5,3,1446,7.277,2.94,2.179,1.54,2.114,3,9,9,0,0,4.9,7.93,7.93,#,#,0,#,3,4.9,1.49,1.65,7.576,1.5,8.437,4.38,0.292,0,1.726,9.28,2.565,4.53,3.7,5.32,8,6,41,22,19505,4876.25,2543,"Sr""Ed",4,1,{shred},"{Sr""Ed}",1,NN|VB,620.781,-0.361,158.17,28,0.94,650.25,-0.403,163.144,#,1
49,snappy,1,0,0,1,1,0,1,0,0,1,0,1,0,1,NA,1,NA,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,NA,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0.448453608,ambiguous,1,6,1,886,6.787,2.94,2.179,1.57,2.124,1,5,5,1,1,4.6,6.154,6.154,4.605,4.605,0,#,1,4.6,1.47,2.05,6.721,1.7,6.176,2.65,0.277,0,1.72,9.05,#,5.55,5.05,5.68,15,12,46,33,6157,1231.4,1188,"sn""ap.i",5,2,{snap}>y>,"{sn""ap}.>i>",2,JJ,603.909,-0.616,243.317,26,1,670.423,-0.26,88.664,#,1
51,stun,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0.8,ambiguous,1,4,#,1780,7.484,1.88,1.987,0.8,1.833,5,11,11,4,4,7.5,8.477,8.477,7.703,7.703,2,8.4,3,7,0.99,1.55,7.977,1.3,8.701,3.14,0.38,0,1.592,9.56,2.68,4.55,5.5,4.19,20,14,56,32,6160,2053.33,1139,"st""Vn",4,1,{stun},"{st""Vn}",1,NN|VB,794.464,-0.029,385.543,28,0.85,628.333,-0.287,94.21,27,1
53,survival,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,NA,1,0,0,0,1,0,0,1,1,0,0,0,1,NA,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.216494845,ambiguous,1,8,32,9737,9.184,10.1,2.713,5.02,2.625,0,3,3,0,0,#,7.656,7.656,#,#,#,#,#,#,#,2.65,7.124,3,7.063,2.34,0.625,5182,1.903,8.47,#,7.05,5.4,5.86,14,13,117,83,14673,2096.14,3146,"s@`.v""aIv.l=",6,3,{sur--vive}>al>,"{s@`-.-v""aIv}.>l=>",3,NN,684.882,-0.396,258.701,27,1,653.37,-0.324,100.126,#,1
54,terminal,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.796954315,ambiguous,1,8,12,24678,10.114,7.65,2.592,2.97,2.398,1,0,0,0,0,4.4,#,#,#,#,0,#,1,4.4,2.32,2.6,6.87,2.8,7.381,3.86,0.624,4806,1.698,9.33,#,4.27,3.68,4.15,11,10,77,49,48887,6983.86,6146,"t""3`.m@.nl=",6,3,{termin--al},"{t""3`.m@.n--l=}",2,NN|JJ,630.471,-0.582,182.347,24,1,681.125,-0.276,162.281,#,1
55,thick,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,NA,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.301020408,ambiguous,1,5,67,11429,9.344,13.98,2.854,6.72,2.752,3,18,18,1,1,10.4,8.607,8.607,8.064,8.064,2,11.5,1,8.1,0.9,1.75,8.487,1.2,9.184,4,0.608,3056,1.759,5.61,1.724,4.63,3.13,5.72,239,98,737,298,11350,2837.5,2152,"T""Ik",3,1,{thick},"{T""Ik}",1,JJ|NN|RB,662.406,-0.626,322.767,27,0.91,650.852,-0.353,155.608,#,0.964
57,traffic,1,1,1,1,1,0,1,1,1,1,0,1,0,1,NA,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,NA,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,NA,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.701030928,ambiguous,1,7,68,25455,10.145,28.51,3.163,11.83,2.997,0,2,2,0,0,#,8.702,8.702,#,#,#,#,#,#,#,2.95,6.607,1.85,7.759,4.67,0.651,6683,1.531,6.22,3.542,2.18,5.25,5.58,207,84,790,254,16761,2793.5,3618,"tr""a.fIk",6,2,{traffic},"{tr""a.fIk}",1,NN,584.355,-0.766,256.24,28,0.97,582.714,-0.533,105.731,#,1
59,trick,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0.69035533,ambiguous,1,5,15,15658,9.659,47.27,3.382,18.19,3.184,8,18,18,6,6,7.6,7.515,7.515,7.893,7.893,1,10.7,7,7.2,1.27,1.5,8.285,1,7.996,3.36,0.596,3087,1.799,6.05,2.043,4.89,5.57,3.22,274,94,711,219,15934,3983.5,2927,"tr""Ik",4,1,{trick},"{tr""Ik}",1,NN|VB,619.059,-0.672,342.478,27,1,584.37,-0.589,87.059,#,1